Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
2018_q3,,Internal Defib Insertion / Loop Recorder,,Total,Provincial,2018,3,,,38,66
12month_rolling,,Hysteroscopy,,Zone 2,Colchester East Hants Health Centre,2019,4,29,97,52,111
2018_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 4,QE2,2018,4,10,26,40,78
2019_q4,,Bariatric Surgery (for Weight Loss),,Total,Provincial,2019,4,402,"3,227",40,47
2018_q3,,Tendon / Ligament Repair,,Zone 3,New Waterford,2018,3,24,77,49,165
12month_rolling,Neurosurgery,All,"Walling, Simon",,,,,26,31,42,195
2019_q3,,Hernia Repair  (Adult),,Total,Provincial,2019,3,70,220,78,244
2018_q2,,Bowel Resection,,Zone 2,Colchester East Hants Health Centre,2018,2,16,49,29,83
2018_q4,,Gastric Surgery,,Total,Provincial,2018,4,12,48,25,98
2018_q2,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 3,St. Marthas Regional,2018,2,30,113,202,355
3month_rolling,,Hernia Repair  (Adult),,Zone 2,Cumberland Regional,2019,4,49,94,49,144
2018_q3,,Back Surgery  (Adult),,Total,Provincial,2018,3,94,196,73,185
2019_q3,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 1,Valley Regional,2019,3,31,110,35,49
2019_q1,,Hysterectomy  (Cancer Not Suspected),,Zone 3,Cape Breton Regional,2019,1,55,211,50,129
12month_rolling,Orthopaedic,Hand / Upper Extremity,"Trenholm, J Andrew I",,,,,56,126,204,551
12month_rolling,,Gastrointestinal Tract Surgery,,Zone 2,Cumberland Regional,2019,4,,,21,30
2019_q2,,Knee Replacement Revision,,Zone 4,QE2,2019,2,,,117,422
12month_rolling,Obstetrics/Gynaecology,All,"Murray, Angus",,,,,88,183,108,228
2019_q1,,Hysteroscopy,,Zone 1,Yarmouth Regional,2019,1,30,67,48,88
2018_q3,,Gastrointestinal Tract Surgery,,Zone 4,Dartmouth General,2018,3,46,147,36,142
12month_rolling,General Surgery,Temporal Artery Biopsy,"Dunn, Rex S",,,,,,,10,15
2019_q2,,Bowel Resection,,Zone 1,Yarmouth Regional,2019,2,,,21,181
2018_q2,,Breast Cancer Surgery,,Zone 1,South Shore Regional,2018,2,13,65,15,23
2019_q2,,Whipple Procedures,,Zone 4,QE2,2019,2,13,29,13,26
12month_rolling,Oral Maxillofacial,All,"Cyr, Philip L",,,,,11,58,39,302
2018_q3,,Whipple Procedures,,Total,Provincial,2018,3,10,14,21,53
12month_rolling,General Surgery,All,"Sharma, Chakshu",,,,,82,247,60,162
12month_rolling,,Surgery for Hearing or Balance Problems of the Ear,,Zone 1,South Shore Regional,2019,4,,,41,137
2018_q1,,AV Fistula Creation/Closure,,Total,Provincial,2018,1,25,48,43,103
2018_q3,,Hernia Repair - Inguinal/Femoral,,Zone 4,Dartmouth General,2018,3,143,239,82,230
2019_q4,,Hip Replacement,,Zone 4,Dartmouth General,2019,4,56,96,162,240
2018_q3,,Male Circumcision  (Adult),,Total,Provincial,2018,3,64,131,74,203
2018_q2,,Manipulation of Extremity,,Total,Provincial,2018,2,,,26,120
12month_rolling,Orthopaedic,Orthopaedic Trauma,"Gauthier, Luke Edward",,,,,,,3,264
2017_q4,,Back Surgery  (Pediatric),,IWK,IWK,2017,4,,,101,336
12month_rolling,,Tendon / Ligament Repair,,Zone 3,New Waterford,2019,4,60,169,28,101
12month_rolling,Orthopaedic,Hip Replacement,"O'Neill, Brendan",,,,,34,79,226,379
2018_q1,,Gastric Surgery,,Zone 4,QE2,2018,1,14,43,25,149
2017_q4,,Cataract Surgery,,Total,Provincial,2017,4,90,212,88,211
2018_q1,,Colorectal Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2018,1,,,25,50
12month_rolling,General Surgery,Hernia Repair  (Adult),"Lapierre, Stephanie",,,,,101,253,42,122
2019_q2,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 4,QE2,2019,2,30,128,25,149
12month_rolling,,Surgery for Hearing or Balance Problems of the Ear,,Zone 1,Yarmouth Regional,2019,4,70,406,25,120
2019_q1,,Aesthetic Surgery,,Total,Provincial,2019,1,72,140,78,337
12month_rolling,,Splenic Surgery,,Total,Provincial,2019,4,27,44,28,100
12month_rolling,General Surgery,Hernia Repair - Incisional,"McGory,Rodney W",,,,,74,152,69,134
2018_q3,,Gastric Surgery,,Zone 4,QE2,2018,3,39,71,34,133
2019_q3,,Temperomandibular Joint Surgery (TMJ),,Zone 4,QE2,2019,3,169,218,131,358
12month_rolling,General Surgery,Insertion Vascular Access Catheter,"MacDonald, Blair",,,,,3,4,3,14
12month_rolling,Neurosurgery,All,"Barry, Sean",,,,,46,109,60,207
3month_rolling,,Tonsillectomy and/or Adenoidectomy  (Adult),,Zone 2,Cumberland Regional,2019,4,,,97,258
2018_q2,,Hip Replacement,,Zone 4,Dartmouth General,2018,2,161,419,180,638
12month_rolling,Oral Maxillofacial,Maxillofacial Deformity Surgery,"Doucet, Jean-Charles",,,,,210,232,219,397
2019_q4,,Hernia Repair  (Adult),,Zone 3,Northside General,2019,4,111,173,43,164
2018_q4,,Gastrointestinal Tract Surgery,,Zone 3,Cape Breton Regional,2018,4,22,228,14,48
12month_rolling,Otolaryngology (ENT),Septoplasty,"Fung, Elaine",,,,,73,183,67,511
2019_q2,,Dental Extractions and Restorations  (Pediatric),,Zone 3,St. Marthas Regional,2019,2,,,84,122
2017_q4,,Hand / Upper Extremity,,Total,Provincial,2017,4,63,319,106,296
2019_q1,,Carotid Endarterectomy,,Total,Provincial,2019,1,,,12,53
2019_q3,,Foot - Bunionectomy,,Total,Provincial,2019,3,77,277,189,341
12month_rolling,Vascular Surgery,AV Fistula Creation/Closure,"Lee, Min S",,,,,16,26,72,114
2019_q4,,Septoplasty,,Zone 4,Dartmouth General,2019,4,197,356,135,378
12month_rolling,Thoracic Surgery,Lung Surgery,"French, Daniel Gerard",,,,,16,48,28,62
12month_rolling,General Surgery,All,"MacFarlane, David",,,,,49,113,30,100
12month_rolling,Plastic Surgery,Aesthetic Surgery,"Hayden, David",,,,,77,263,100,159
2019_q4,,Hip Replacement,,Zone 1,Valley Regional,2019,4,98,168,361,609
2018_q1,,Bowel Resection,,Zone 4,QE2,2018,1,19,98,40,230
12month_rolling,Vascular Surgery,Aneurysm Repair,"Casey, Patrick J",,,,,34,63,74,286
2018_q2,,Spinal Cord Stimulation Surgery,,Total,Provincial,2018,2,,,106,195
12month_rolling,Orthopaedic,Knee Replacement,"Brien, Donald M",,,,,129,262,211,358
2018_q3,,Bowel Resection,,Zone 4,QE2,2018,3,13,61,28,153
2019_q3,,Hernia Repair - Umbilical,,Zone 4,QE2,2019,3,118,162,160,443
2019_q1,,Hysteroscopy,,Zone 3,Northside General,2019,1,29,96,13,101
12month_rolling,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 2,Cumberland Regional,2019,4,27,55,18,36
12month_rolling,Vascular Surgery,Endarterectomy,"Smith, Matthew",,,,,12,36,14,56
3month_rolling,,Bladder Cancer Surgery,,Total,Provincial,2019,4,14,64,32,92
2019_q1,,Hernia Repair - Laparoscopic Incisional,,Total,Provincial,2019,1,74,298,86,266
12month_rolling,Neurosurgery,All,"Clarke, David B",,,,,33,98,35,207
12month_rolling,,Hernia Repair - Ventral,,Zone 2,Cumberland Regional,2019,4,45,56,,
12month_rolling,,Lymph Node Biopsy,,Zone 2,Aberdeen Hospital,2019,4,8,20,8,26
2018_q4,,Cataract Surgery,,Zone 2,Colchester East Hants Health Centre,2018,4,174,183,140,175
2017_q4,,Breast Cancer Surgery,,Zone 2,Aberdeen Hospital,2017,4,7,11,18,33
12month_rolling,,Insertion Vascular Access Catheter,,Zone 3,Glace Bay,2019,4,,,35,126
12month_rolling,Plastic Surgery,Hand / Upper Extremity,"Wheelock, Margaret",,,,,87,122,240,335
12month_rolling,Dental,Dental Extractions and Restorations  (Pediatric),"Bourque, Susan",,,,,21,74,10,58
3month_rolling,,Breast Cancer Surgery,,Zone 4,QE2,2019,4,,,24,34
2019_q1,,Vascular Bypass Surgery,,Total,Provincial,2019,1,37,50,50,123
2019_q2,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,IWK,IWK,2019,2,184,218,175,285
12month_rolling,Dental,All,"Brown, Charlotte",,,,,11,166,159,407
2018_q2,,Shoulder Arthroscopy,,Zone 4,Dartmouth General,2018,2,51,122,127,364
12month_rolling,,Prostate Surgery,,Zone 3,Inverness Consolidated Memorial,2019,4,,,24,35
2019_q2,,Gallbladder Surgery,,Total,Provincial,2019,2,49,185,45,169
12month_rolling,General Surgery,Pilonidal Cyst Surgery,"King, Jenelle",,,,,14,39,44,140
12month_rolling,Otolaryngology (ENT),Head and Neck Surgery,"Wallace, Timothy D",,,,,27,45,39,82
12month_rolling,,Surgery for Hearing or Balance Problems of the Ear,,Zone 3,Northside General,2019,4,22,46,29,69
12month_rolling,Orthopaedic,Hip Replacement Revision,"Richardson, Christopher Glen",,,,,62,90,62,138
12month_rolling,General Surgery,All,"Calverley, Virginia C",,,,,15,42,26,84
2018_q1,,Female Incontinence Surgery,,IWK,IWK,2018,1,,,100,193
2018_q1,,Male Reproductive System Surgery,,Zone 3,Inverness Consolidated Memorial,2018,1,55,149,59,222
2017_q4,,Knee Replacement,,Zone 1,Valley Regional,2017,4,127,415,348,551
2019_q4,,Hernia Repair - Inguinal/Femoral,,Zone 4,QE2,2019,4,210,306,102,260
3month_rolling,,Shoulder Arthroscopy,,Zone 4,Dartmouth General,2019,4,81,153,110,406
2018_q3,,Knee Replacement - Partial,,Zone 2,Aberdeen Hospital,2018,3,,,430,483
12month_rolling,Cardiac Surgery,Cardiac Valve Replacement,"Stewart, Keir Marshall",,,,,,,40,84
12month_rolling,General Surgery,Gallbladder Surgery,"Sharma, Chakshu",,,,,88,198,88,179
2019_q1,,Hernia Repair - Incisional,,Zone 4,QE2,2019,1,172,308,52,467
2019_q3,,Bladder Cancer Surgery,,Zone 1,South Shore Regional,2019,3,,,22,51
12month_rolling,,Gastrointestinal Tract Surgery,,IWK,IWK,2019,4,30,42,61,121
2018_q2,,Breast Cancer Surgery,,Zone 3,St. Marthas Regional,2018,2,7,26,21,48
2018_q2,,Hip Replacement,,Zone 3,Cape Breton Regional,2018,2,103,195,112,225
12month_rolling,Cardiac Surgery,Aneurysm Repair,"Wood, Jeremy R",,,,,1,1,13,98
12month_rolling,,Surgery for Hearing or Balance Problems of the Ear,,Zone 3,St. Marthas Regional,2019,4,30,68,48,99
2017_q4,,Cardiac Valve Replacement,,Total,Provincial,2017,4,,,6,70
12month_rolling,Neurosurgery,Back Surgery  (Adult),"Barry, Sean",,,,,56,111,59,164
12month_rolling,,Knee Replacement - Partial,,Zone 4,Dartmouth General,2019,4,74,115,135,248
2019_q4,,Gastric Surgery,,Total,Provincial,2019,4,33,67,49,111
2018_q2,,Strabismus Surgery  (Adult),,Total,Provincial,2018,2,206,704,211,421
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Porter, Geoffrey A",,,,,8,26,37,58
12month_rolling,Obstetrics/Gynaecology,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),"Kieser, Katharina E",,,,,12,35,72,97
12month_rolling,Orthopaedic,Knee Scope with ACL Repair,"Clarke, Gregory",,,,,18,61,51,243
2018_q4,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Zone 1,Valley Regional,2018,4,48,287,106,225
12month_rolling,Orthopaedic,Hip Replacement,"Clarke, Gregory",,,,,73,132,330,623
12month_rolling,All Specialties,,,,,2019,4,,,62,260
2018_q1,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 3,St. Marthas Regional,2018,1,,,39,146
2019_q4,,Breast Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2019,4,9,26,21,42
2018_q1,,Hysteroscopy,,Zone 2,Aberdeen Hospital,2018,1,35,139,29,107
12month_rolling,General Surgery,Bowel Resection,"Archibald, Alison",,,,,16,37,18,35
12month_rolling,,Pacemaker Insertion,,Total,Provincial,2019,4,12,28,14,64
2018_q3,,Ear Tubes  (Pediatric),,Zone 1,Valley Regional,2018,3,,,53,80
2018_q1,,Male Circumcision  (Pediatric),,Total,Provincial,2018,1,55,176,75,162
2019_q4,,Hernia Repair - Inguinal/Femoral,,Zone 1,Yarmouth Regional,2019,4,14,75,39,93
3month_rolling,,Strabismus Surgery  (Adult),,Total,Provincial,2019,4,484,952,92,120
2018_q1,,AV Fistula Creation/Closure,,Zone 4,QE2,2018,1,18,42,38,88
2017_q4,,Gallbladder Surgery,,Zone 1,Yarmouth Regional,2017,4,12,29,28,55
12month_rolling,Neurosurgery,Brain Surgery  (Adult),"McNeely, P Daniel",,,,,40,51,66,215
2018_q2,,Melanoma Excision,,Zone 4,QE2,2018,2,12,41,13,20
3month_rolling,,Knee Replacement,,Zone 3,Cape Breton Regional,2019,4,68,147,101,245
2019_q4,,Knee Scope,,Zone 3,Cape Breton Regional,2019,4,106,141,,
12month_rolling,Dental,All,"Doyle, Tracy",,,,,159,349,136,447
12month_rolling,Obstetrics/Gynaecology,All,"Amir, Baharak",,,,,54,270,75,180
2018_q1,,Cataract Surgery,,Zone 4,QE2,2018,1,100,219,70,204
2018_q3,,Male Reproductive System Surgery,,Zone 3,Northside General,2018,3,65,193,,
12month_rolling,General Surgery,Gastrointestinal Tract Surgery - Laparoscopic,"Wasserman, Lukas",,,,,29,104,32,69
2019_q2,,Ear Tubes  (Pediatric),,Zone 3,St. Marthas Regional,2019,2,,,45,56
12month_rolling,Orthopaedic,All,"Prasad, Bangaradka Radhakrishna",,,,,49,156,50,93
12month_rolling,,Ankle - Arthroplasty,,Zone 4,QE2,2019,4,50,161,58,116
12month_rolling,Otolaryngology (ENT),Laryngology and Vocal Cord Surgery,"Corsten, Martin",,,,,10,22,10,20
12month_rolling,Otolaryngology (ENT),Sinus Surgery,"Wallace, Timothy D",,,,,71,437,74,257
2018_q3,,Cataract Surgery,,Zone 4,QE2,2018,3,91,217,64,229
2018_q4,,Cataract Surgery,,Total,Provincial,2018,4,92,211,79,218
2018_q4,,Knee Scope with ACL Repair,,Zone 4,QE2,2018,4,64,213,133,422
2019_q4,,Knee Replacement - Partial,,Zone 4,Dartmouth General,2019,4,,,73,148
2018_q1,,Hysteroscopy,,Total,Provincial,2018,1,42,148,42,121
12month_rolling,Obstetrics/Gynaecology,Pelvic Floor Repair,"Moodley, Manivasan",,,,,20,98,92,157
12month_rolling,Orthopaedic,Knee Replacement - Partial,"Gross, Michael",,,,,112,223,156,202
2018_q3,,Insertion Vascular Access Catheter,,Total,Provincial,2018,3,7,40,13,50
2019_q3,,Hysteroscopy,,Zone 4,Dartmouth General,2019,3,140,469,53,154
12month_rolling,,Male Reproductive System Surgery,,Zone 2,Cumberland Regional,2019,4,56,164,66,121
12month_rolling,Plastic Surgery,All,"Morris, Steven F",,,,,5,10,120,401
2018_q1,,Gallbladder Surgery,,Zone 2,Aberdeen Hospital,2018,1,38,64,36,229
12month_rolling,Obstetrics/Gynaecology,Pelvic Floor Repair,"Hudgins, Sarah",,,,,42,81,52,53
2019_q4,,Functional Endoscopic Sinus Surgery (FESS),,Zone 3,St. Marthas Regional,2019,4,20,74,27,90
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Shih, Warren W",,,,,20,55,25,34
2018_q3,,Surgery for Hearing or Balance Problems of the Ear,,Zone 3,Cape Breton Regional,2018,3,36,181,43,46
2018_q3,,Bowel Resection,,Zone 3,Cape Breton Regional,2018,3,30,74,15,41
12month_rolling,General Surgery,Gastrointestinal Tract Surgery - Laparoscopic,"Kenyon, Chris",,,,,54,77,48,162
2018_q3,,Hernia Repair - Umbilical,,Total,Provincial,2018,3,77,171,67,173
2019_q3,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 3,St. Marthas Regional,2019,3,,,55,81
2018_q1,,Hip Replacement,,Total,Provincial,2018,1,97,308,188,559
2018_q2,,Hernia Repair  (Adult),,Total,Provincial,2018,2,70,205,73,241
2018_q3,,Foot - Arthrodesis,,Total,Provincial,2018,3,126,245,276,491
2019_q1,,Gastrointestinal Tract Surgery,,Zone 2,Colchester East Hants Health Centre,2019,1,32,72,57,113
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"McGory,Rodney W",,,,,59,145,82,164
12month_rolling,Orthopaedic,Tendon / Ligament Repair,"Glazebrook, Mark A",,,,,224,260,414,592
12month_rolling,,Insertion Vascular Access Catheter,,Zone 1,South Shore Regional,2019,4,6,8,9,28
2017_q4,,Hip Replacement,,Zone 2,Aberdeen Hospital,2017,4,79,373,151,469
2018_q2,,Knee Replacement,,Total,Provincial,2018,2,111,398,210,645
2018_q4,,Functional Endoscopic Sinus Surgery (FESS),,Total,Provincial,2018,4,49,167,113,204
2018_q3,,Pancreas Surgery,,Total,Provincial,2018,3,12,34,21,35
2017_q4,,Brain Surgery  (Pediatric),,IWK,IWK,2017,4,,,14,37
12month_rolling,Urology,Kidney Stone Surgery,"Himmelman, Jeffrey George",,,,,32,91,45,82
12month_rolling,Ophthalmology,Strabismus Surgery  (Adult),"Laroche, G Robert",,,,,952,"1,379",130,267
2019_q3,,Shoulder Arthroscopy,,Zone 3,Cape Breton Regional,2019,3,66,112,42,77
3month_rolling,,Shoulder Arthroscopy,,Zone 1,Valley Regional,2019,4,134,211,188,478
12month_rolling,Oral Maxillofacial,Dental Extractions and Restorations  (Adult),"Robertson, Chad G",,,,,30,58,94,475
2018_q1,,Temperomandibular Joint Surgery (TMJ),,Zone 4,QE2,2018,1,147,198,135,384
12month_rolling,General Surgery,Breast Cancer Surgery,"Calverley, Virginia C",,,,,14,21,21,37
2019_q1,,Gastric Surgery - Laparoscopic,,Total,Provincial,2019,1,73,291,161,426
12month_rolling,Dental,All,"Hughes, Stacey",,,,,,,74,246
12month_rolling,General Surgery,Bowel Resection - Open,"O'Sullivan, Colleen M",,,,,302,511,71,104
12month_rolling,Orthopaedic,Back Surgery  (Pediatric),"Orlik, Benjamin",,,,,59,72,229,303
12month_rolling,Orthopaedic,All,"Johnston, David G",,,,,84,421,118,456
2018_q4,,Septoplasty,,Zone 2,Cumberland Regional,2018,4,,,76,144
2019_q3,,Nerve Surgery,,Zone 4,QE2,2019,3,34,344,28,204
2019_q1,,Dental Extractions and Restorations  (Pediatric),,Total,Provincial,2019,1,40,242,99,325
12month_rolling,General Surgery,Gastrointestinal Tract Surgery - Laparoscopic,"Klassen, Dennis R",,,,,37,58,32,131
12month_rolling,Orthopaedic,Knee Scope,"Brien, Donald M",,,,,67,150,82,143
2019_q1,,Knee Replacement Revision,,Zone 4,QE2,2019,1,,,55,83
2019_q4,,Hernia Repair - Inguinal/Femoral,,Zone 3,Northside General,2019,4,,,78,194
2017_q4,,Coronary Artery Bypass Graft,,Zone 4,QE2,2017,4,,,3,30
2017_q4,,Gallbladder Surgery,,Zone 3,Northside General,2017,4,36,147,34,113
12month_rolling,Plastic Surgery,Breast Reduction Surgery,"Brennan, Michael",,,,,173,621,106,181
12month_rolling,,AV Fistula Creation/Closure,,Zone 4,QE2,2019,4,21,39,23,84
12month_rolling,Otolaryngology (ENT),All,"Kujath, Magdalena",,,,,47,308,171,355
12month_rolling,Ophthalmology,Strabismus Surgery  (Pediatric),"Laroche, G Robert",,,,,151,290,97,189
2019_q4,,Colorectal Cancer Surgery,,Zone 1,Valley Regional,2019,4,,,31,50
12month_rolling,Cardiac Surgery,Cardiovascular Surgery,"Ali, Idris M",,,,,,,9,44
2018_q2,,Wound Management,,Total,Provincial,2018,2,,,18,211
12month_rolling,Otolaryngology (ENT),Head and Neck Surgery,"Rigby, Matthew Hall",,,,,12,35,29,262
2019_q3,,Hernia Repair - Inguinal/Femoral,,Zone 2,Colchester East Hants Health Centre,2019,3,39,130,55,153
12month_rolling,Urology,Prostate Surgery,"Bailly, Greg G",,,,,48,98,49,154
2019_q1,,Hernia Repair - Incisional,,Zone 1,Valley Regional,2019,1,109,413,77,183
2019_q3,,Knee Replacement,,Zone 4,Dartmouth General,2019,3,57,101,258,407
2018_q4,,Kidney / Upper Urinary Tract,,Zone 3,Cape Breton Regional,2018,4,,,34,90
12month_rolling,General Surgery,Colorectal Cancer Surgery,"McKenney, Roderick",,,,,64,76,34,58
2019_q2,,Male Circumcision  (Adult),,Total,Provincial,2019,2,56,188,102,245
12month_rolling,General Surgery,Gastric Surgery,"Blackmore, Christopher",,,,,17,30,34,77
2019_q1,,Manipulation of Extremity,,Total,Provincial,2019,1,,,29,204
2018_q2,,Female Incontinence Surgery,,Zone 2,Colchester East Hants Health Centre,2018,2,,,192,197
2019_q2,,Septoplasty,,Zone 3,St. Marthas Regional,2019,2,68,97,41,62
2018_q4,,Dental Extractions and Restorations  (Pediatric),,Zone 2,Cumberland Regional,2018,4,36,89,29,46
2018_q1,,Kidney Stone Surgery,,Zone 2,Colchester East Hants Health Centre,2018,1,19,42,45,76
12month_rolling,General Surgery,Gallbladder Surgery,"Topp, Trevor J",,,,,61,109,100,153
2018_q1,,Knee Replacement,,Zone 4,Dartmouth General,2018,1,139,387,187,454
12month_rolling,Plastic Surgery,Otoplasty,"Bezuhly, Michael",,,,,81,181,321,481
2018_q3,,Hip Replacement,,Zone 1,Valley Regional,2018,3,86,349,265,565
2019_q2,,Foot - Bunionectomy,,Total,Provincial,2019,2,49,241,168,305
2018_q1,,Aesthetic Surgery,,Total,Provincial,2018,1,108,436,91,272
2019_q3,,Septoplasty,,Zone 4,Dartmouth General,2019,3,217,444,162,438
2019_q1,,Carpal Tunnel Surgery,,Zone 1,Valley Regional,2019,1,50,96,201,550
2018_q1,,Bowel Resection,,Zone 2,Colchester East Hants Health Centre,2018,1,21,47,33,96
2019_q3,,Dental Extractions and Restorations  (Pediatric),,Zone 3,New Waterford,2019,3,,,187,429
12month_rolling,,Salivary Gland Surgery,,IWK,IWK,2019,4,,,126,289
2019_q3,,Thyroid or Parathyroid Surgery,,Zone 4,QE2,2019,3,54,134,93,226
2018_q1,,Bladder Cancer Surgery,,Zone 1,South Shore Regional,2018,1,,,32,103
2019_q2,,Hernia Repair - Umbilical,,Zone 4,QE2,2019,2,98,133,138,325
3month_rolling,,Hernia Repair  (Adult),,Zone 2,Aberdeen Hospital,2019,4,149,346,94,162
12month_rolling,Obstetrics/Gynaecology,Pelvic Floor Repair,"Smith, Anita",,,,,245,304,72,223
2019_q4,,Cataract Surgery,,Total,Provincial,2019,4,83,233,88,277
2019_q3,,Bowel Resection - Laparoscopic,,Zone 4,QE2,2019,3,22,76,41,210
12month_rolling,,Head and Neck Surgery,,Zone 1,Valley Regional,2019,4,33,237,66,179
12month_rolling,,Insertion Vascular Access Catheter,,Zone 3,St. Marthas Regional,2019,4,7,20,16,51
2019_q3,,Whipple Procedures,,Zone 4,QE2,2019,3,13,21,16,23
2019_q4,,Hernia Repair - Inguinal/Femoral,,Zone 3,Cape Breton Regional,2019,4,103,172,114,237
12month_rolling,Plastic Surgery,Aesthetic Surgery,"Morris, Steven F",,,,,,,204,603
2019_q1,,Gallbladder Surgery,,Total,Provincial,2019,1,42,210,48,160
3month_rolling,,Kidney Stone Surgery,,Zone 1,Valley Regional,2019,4,47,97,71,161
2019_q1,,Hysteroscopy,,Zone 3,Cape Breton Regional,2019,1,55,105,50,143
2018_q1,,Vitreoretinal Diseases,,Zone 4,QE2,2018,1,21,78,27,117
2018_q1,,Thyroid or Parathyroid Surgery,,Zone 4,QE2,2018,1,38,207,77,371
2017_q4,,Oculo Plastic Surgery,,Total,Provincial,2017,4,18,378,27,123
2017_q4,,Breast Cancer Surgery,,Zone 1,Valley Regional,2017,4,13,20,37,53
2018_q3,,Hernia Repair  (Adult),,Zone 3,Cape Breton Regional,2018,3,40,211,43,117
2019_q3,,Peritoneal Lavage or Catherization,,Zone 4,QE2,2019,3,10,51,8,15
12month_rolling,Ophthalmology,All,"Hamilton, Claire",,,,,71,194,71,156
3month_rolling,,Pelvic Floor Repair,,Zone 2,Colchester East Hants Health Centre,2019,4,,,151,225
2018_q3,,Kidney / Upper Urinary Tract,,Total,Provincial,2018,3,32,86,63,137
2019_q3,,Hernia Repair - Inguinal/Femoral,,Zone 1,Valley Regional,2019,3,60,288,71,125
2018_q1,,Foot - Bunionectomy,,Zone 4,QE2,2018,1,149,508,185,269
2018_q1,,Bowel Resection - Laparoscopic,,Zone 4,QE2,2018,1,20,112,52,298
2019_q1,,Endometrial Ablation,,Zone 3,Northside General,2019,1,29,70,,
2019_q1,,Hip Replacement,,Total,Provincial,2019,1,68,214,151,425
12month_rolling,General Surgery,Bowel Resection,"Stewart, Riley",,,,,13,42,20,47
3month_rolling,,Brain Surgery  (Pediatric),,Total,Provincial,2019,4,,,32,99
12month_rolling,General Surgery,Hernia Repair  (Adult),"Pillai, Neelakantan G.",,,,,18,22,20,48
12month_rolling,Thoracic Surgery,Lung Cancer Surgery,"Plourde, Madelaine M",,,,,37,62,57,100
12month_rolling,Orthopaedic,Shoulder Surgery,"Yepes, Horacio",,,,,46,110,47,81
2018_q2,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Suspected or Proven),,Total,Provincial,2018,2,,,43,92
2019_q2,,Knee Replacement,,Total,Provincial,2019,2,60,211,196,553
12month_rolling,Urology,Prostate Cancer Surgery,"Massaro, Peter",,,,,53,58,63,76
2019_q3,,Pancreas Surgery,,Total,Provincial,2019,3,14,33,11,36
12month_rolling,,Orthopaedic Trauma,,Zone 1,South Shore Regional,2019,4,,,5,6
2017_q4,,Shoulder Arthroscopy,,Zone 2,Aberdeen Hospital,2017,4,68,188,88,170
2018_q4,,Laryngology and Vocal Cord Surgery,,Zone 4,QE2,2018,4,47,186,31,231
2019_q4,,Hernia Repair - Ventral,,Total,Provincial,2019,4,116,272,113,217
2019_q2,,Gastrointestinal Tract Surgery,,Total,Provincial,2019,2,27,121,36,149
2018_q1,,Ear Tubes  (Pediatric),,Zone 1,Yarmouth Regional,2018,1,,,34,37
2019_q1,,Hip Replacement,,Zone 3,Cape Breton Regional,2019,1,66,138,73,218
2018_q3,,Cardiac Valve Replacement,,Total,Provincial,2018,3,,,37,99
2019_q3,,Carpal Tunnel Surgery,,Total,Provincial,2019,3,62,232,52,191
12month_rolling,General Surgery,Bowel Resection - Open,"Helyer, Lucy K",,,,,10,43,21,30
2019_q4,,Hand / Upper Extremity,,Total,Provincial,2019,4,128,388,91,260
12month_rolling,General Surgery,AV Fistula Creation/Closure,"Walsh, Mark J",,,,,25,47,23,62
2019_q3,,Hernia Repair - Inguinal/Femoral,,Zone 2,Aberdeen Hospital,2019,3,,,130,134
2018_q2,,Hernia Repair - Umbilical,,Zone 2,Colchester East Hants Health Centre,2018,2,41,161,90,135
12month_rolling,Otolaryngology (ENT),Functional Endoscopic Sinus Surgery (FESS),"Clifton, Neil",,,,,49,91,50,125
12month_rolling,Otolaryngology (ENT),Ear Tubes  (Pediatric),"Kujath, Magdalena",,,,,35,418,66,198
12month_rolling,,Kidney / Upper Urinary Tract,,Total,Provincial,2019,4,50,115,36,164
2019_q1,,Knee Scope,,Zone 2,Aberdeen Hospital,2019,1,50,380,64,207
2019_q3,,Knee Scope,,Zone 3,Cape Breton Regional,2019,3,,,43,50
2019_q2,,Wound Management,,Total,Provincial,2019,2,,,16,47
2018_q2,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Inverness Consolidated Memorial,2018,2,,,89,134
2018_q2,,Hernia Repair - Ventral,,Total,Provincial,2018,2,94,248,66,170
3month_rolling,,Temperomandibular Joint Surgery (TMJ),,Zone 4,QE2,2019,4,207,271,163,525
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Murdoch, John L",,,,,45,202,48,127
